epochs,Sequential CNN AUC,Sequential CNN Val AUC,Hybrid CNN AUC,Hybrid CNN Val AUC
1,0.64,0.7337,0.6906,0.558
2,0.7736,0.7961,0.8679,0.5551
3,0.8303,0.8251,0.9053,0.5264
4,0.8481,0.8628,0.9192,0.5563
5,0.8615,0.8784,0.9301,0.5479
6,0.8797,0.8966,0.941,0.5933
7,0.9045,0.9074,0.9415,0.5778
8,0.9135,0.9202,0.9491,0.5566
9,0.9125,0.9163,0.9645,0.6142
10,0.9269,0.9336,0.9598,0.6227
11,0.9374,0.9231,0.9669,0.6931
12,0.9343,0.929,0.9652,0.758
13,0.9424,0.9289,0.9724,0.784
14,0.949,0.9282,0.9748,0.8158
15,0.9501,0.9424,0.9812,0.8082
16,0.9602,0.9238,0.9784,0.786
17,0.967,0.9461,0.9849,0.8912
18,0.9689,0.9366,0.9876,0.8818
19,0.9706,0.9486,0.989,0.9021
20,0.9749,0.9452,0.9869,0.9347
21,0.9769,0.9412,0.9936,0.9053
22,0.9778,0.944,0.9912,0.9212
23,0.9775,0.9474,0.9911,0.8576
24,0.9797,0.9636,0.9948,0.8679
25,0.9823,0.9524,0.9957,0.9453
26,0.9872,0.9475,0.9958,0.903
27,0.9871,0.9421,0.9977,0.9385
28,0.9824,0.9308,0.9966,0.9497
29,0.9864,0.9384,0.9958,0.9118
30,0.9856,0.9486,0.9968,0.9528
31,0.99,0.9401,0.9975,0.9413
32,0.9877,0.9397,0.9971,0.8985
33,0.9953,0.9424,0.9971,0.9018
34,0.9916,0.9553,0.9943,0.9201
35,0.9942,0.9545,0.9982,0.9306
36,0.9924,0.9187,0.9987,0.9243
37,0.9925,0.9501,0.9972,0.9272
38,0.9947,0.9376,0.9976,0.8845
39,0.9955,0.9467,0.997,0.8927
40,0.9887,0.9508,0.9982,0.7022
41,0.9954,0.9449,0.996,0.8832
42,0.9957,0.944,0.9981,0.9343
43,0.9974,0.9346,0.9971,0.8719
44,0.9962,0.9321,0.9984,0.9328
45,0.9966,0.9256,0.9979,0.9222
46,0.9953,0.945,0.9951,0.9058
47,0.9959,0.9413,0.9975,0.9288
48,0.9965,0.9485,0.9976,0.9527
49,0.9962,0.9421,0.9977,0.9373
