epochs,Sequential CNN Acc,Sequential CNN Val Acc,Hybrid CNN Acc,Hybrid CNN Val Acc
1,0.2865,0.3795,0.3708,0.1741
2,0.4177,0.4196,0.5583,0.183
3,0.4906,0.5089,0.625,0.1652
4,0.5188,0.5759,0.6552,0.2723
5,0.5375,0.6071,0.667,0.2188
6,0.5646,0.6339,0.7219,0.183
7,0.6167,0.6429,0.6927,0.1964
8,0.6229,0.683,0.7229,0.192
9,0.6438,0.6562,0.7625,0.3259
10,0.6646,0.6875,0.7635,0.2946
11,0.6906,0.7098,0.7802,0.3973
12,0.6854,0.6741,0.7969,0.4911
13,0.7042,0.7009,0.8042,0.4464
14,0.7323,0.6786,0.8167,0.5223
15,0.7385,0.7143,0.8458,0.5134
16,0.7698,0.7009,0.826,0.4911
17,0.7958,0.7098,0.8615,0.6339
18,0.7812,0.6786,0.8781,0.6205
19,0.7927,0.7232,0.8865,0.6518
20,0.7958,0.7098,0.8833,0.7232
21,0.8208,0.7143,0.9104,0.683
22,0.8208,0.7366,0.9083,0.7188
23,0.8208,0.7098,0.9052,0.5446
24,0.8417,0.7411,0.924,0.6339
25,0.8469,0.75,0.925,0.7634
26,0.8677,0.7321,0.9344,0.6741
27,0.8542,0.7232,0.9469,0.7545
28,0.8635,0.692,0.9396,0.7812
29,0.8698,0.7232,0.9323,0.6875
30,0.8698,0.7321,0.9417,0.7857
31,0.8667,0.7277,0.9448,0.7366
32,0.8844,0.7634,0.9552,0.7054
33,0.9229,0.7679,0.9406,0.6786
34,0.8958,0.75,0.9333,0.7009
35,0.9156,0.7768,0.9656,0.7366
36,0.9021,0.6875,0.9531,0.7188
37,0.901,0.7634,0.9573,0.7545
38,0.9167,0.7679,0.9479,0.6652
39,0.9208,0.7634,0.9438,0.6473
40,0.9,0.7545,0.9635,0.4196
41,0.9281,0.7768,0.95,0.6875
42,0.9333,0.7455,0.9542,0.7634
43,0.9438,0.7366,0.9563,0.6116
44,0.9469,0.7366,0.9615,0.7634
45,0.9521,0.7455,0.95,0.7411
46,0.9427,0.7545,0.9375,0.7143
47,0.949,0.7634,0.9552,0.7589
48,0.95,0.8036,0.9635,0.7946
49,0.9604,0.7768,0.9656,0.75
50,0.951,0.7679,0.9688,0.75
51,0.9344,0.7054,0.9729,0.7277
52,0.9396,0.7812,0.9781,0.7366
53,0.9583,0.7812,0.974,0.692
54,0.9479,0.7455,0.975,0.6741
55,0.9615,0.7321,0.9729,0.7277
